Clase,NombreImagen,MomentosHu,MomentosZernike
circle,2893.png,"[ 1.59243410e-01  7.25286357e-06  3.43458896e-07  7.27967060e-10
  9.48665845e-19 -1.51948348e-12  1.14716270e-17]","[0.31830989 0.02271767 0.33434699 0.31010454 0.01772218 0.0244135
 0.32679864 0.32547875 0.30596281 0.00286991 0.02886164 0.02354528
 0.32727893 0.32483181 0.31974151 0.30325764 0.01712006 0.00670974
 0.03533999 0.02189118 0.32374925 0.32727709 0.32065911 0.31581405
 0.30116941]"
circle,3000.png,"[ 1.59274905e-01  2.26231795e-05  1.66790498e-06  6.28698940e-10
 -7.75082688e-19  1.67274968e-13 -2.03439265e-17]","[0.31830989 0.02075613 0.33808284 0.30823641 0.02526603 0.01928352
 0.3295664  0.32674346 0.3033132  0.00833569 0.03952535 0.01529342
 0.33052311 0.3261845  0.31987338 0.30014815 0.02965776 0.00612676
 0.04889033 0.0106641  0.32911291 0.32735768 0.32212167 0.3149699
 0.29778255]"
circle,1039.png,"[ 1.59624512e-01  1.33400563e-04  4.95490108e-07  6.97580700e-10
 -9.01983179e-18 -3.28730338e-12  9.31878095e-18]","[0.31830989 0.02163317 0.3344295  0.31006252 0.01923443 0.02245959
 0.32756916 0.32503183 0.30602065 0.00306203 0.03084474 0.02080986
 0.32942987 0.32371183 0.3197037  0.30332927 0.01987651 0.00436583
 0.03787256 0.01842154 0.32640225 0.32649763 0.31983189 0.31601926
 0.30122149]"
circle,3626.png,"[ 1.59357307e-01  5.05518666e-05  1.41659904e-08  2.32722904e-11
  6.11091932e-21  7.86725745e-14 -1.18831184e-20]","[0.31830989 0.0273343  0.33959524 0.30748013 0.0049326  0.03486345
 0.33473713 0.32455591 0.30291497 0.01921444 0.00901567 0.04003926
 0.3299574  0.3305014  0.31558968 0.30039664 0.00919597 0.03028553
 0.00892744 0.04447203 0.3328705  0.3270955  0.32503657 0.30947219
 0.2987462 ]"
circle,3037.png,"[ 1.59468912e-01  8.47753263e-05  8.29036444e-07  5.30516531e-10
  1.09674307e-17  4.86687310e-12 -1.87113305e-18]","[0.31830989 0.02295857 0.34084273 0.30685621 0.00710719 0.02827795
 0.33478871 0.32555987 0.30188435 0.01224189 0.01253182 0.0314284
 0.33302369 0.32895741 0.31704152 0.29895321 0.00326208 0.02038137
 0.01416616 0.03387854 0.33176266 0.3299409  0.32258308 0.31150491
 0.29687023]"
circle,3599.png,"[ 1.59333765e-01  4.35111179e-05  7.67140125e-07  3.67450747e-10
  1.68467081e-18  1.06811322e-12 -5.93482731e-18]","[0.31830989 0.02688371 0.34015264 0.30720135 0.01649456 0.03036458
 0.33210462 0.3267751  0.30201162 0.00577705 0.02733291 0.03096701
 0.33225853 0.32756705 0.31899255 0.29877638 0.01265121 0.01309796
 0.03296632 0.03066795 0.32803687 0.33106617 0.32136893 0.31396541
 0.29636421]"
circle,2920.png,"[ 1.59498637e-01  8.76460539e-05  2.61266314e-07  2.14994687e-10
 -1.08014882e-18  1.02084826e-12  1.19567915e-18]","[0.31830989 0.02403997 0.333613   0.31047119 0.0075499  0.02957195
 0.32834276 0.32383788 0.3068299  0.01339007 0.01294639 0.03290051
 0.3263774  0.32597962 0.31768921 0.30460808 0.00418457 0.02277584
 0.01417025 0.03556395 0.32505018 0.32619456 0.32154867 0.31354942
 0.30296622]"
circle,2627.png,"[ 1.59396969e-01  6.14664497e-05  1.64847821e-06  9.23139376e-10
 -8.93195139e-18 -1.80440587e-12 -3.48863324e-17]","[0.31830989 0.02813475 0.33850719 0.30802397 0.00670601 0.03531588
 0.33325763 0.32463601 0.30357371 0.01805257 0.01178761 0.04001753
 0.3292516  0.32953522 0.31624931 0.30105355 0.00701967 0.0291547
 0.01234053 0.04394717 0.33125557 0.32691864 0.3243733  0.31050679
 0.29935374]"
circle,2219.png,"[ 1.59383849e-01  6.03525550e-05  3.50834582e-07  3.18484442e-10
 -4.07787558e-19 -2.15914931e-13 -3.34174923e-18]","[0.31830989 0.0232286  0.34038824 0.30708373 0.01828083 0.02489367
 0.33213552 0.32695068 0.30182151 0.00311913 0.02892784 0.02409097
 0.33247459 0.32756004 0.31913876 0.2985317  0.01724536 0.00781595
 0.03503575 0.02253328 0.32872339 0.33073297 0.32159107 0.31401831
 0.29608461]"
circle,202.png,"[-4.52380126e+04  1.14814545e+09  1.57460436e+14  2.86286497e+14
  6.07836537e+28 -9.70058465e+18  6.12525962e+25]","[0.31830989 0.07128273 0.32071271 0.31691913 0.03831667 0.08240048
 0.31658524 0.32093484 0.3156007  0.01449467 0.06788178 0.08537833
 0.32185215 0.31501725 0.32127536 0.31421612 0.02810137 0.03475747
 0.08323859 0.08574734 0.31409118 0.32187737 0.31351483 0.32154191
 0.31273822]"
circle,425.png,"[ 1.59921400e-01  2.24913892e-04  2.45761104e-07  6.76553537e-10
  7.75304152e-18  6.72286932e-12 -3.99955998e-18]","[0.31830989 0.02704695 0.33738184 0.30858737 0.00974327 0.03285046
 0.33095681 0.325234   0.30412972 0.01111206 0.01782326 0.03585363
 0.32978038 0.32714488 0.31803144 0.30140742 0.00374878 0.02043934
 0.0210148  0.03795147 0.32939404 0.32711123 0.32248447 0.31307467
 0.29943438]"
circle,2500.png,"[ 1.59662324e-01  1.46903545e-04  9.75836107e-07  1.94097685e-09
 -1.45136649e-17 -4.26828878e-12 -8.32170414e-17]","[0.31830989 0.02456927 0.34004178 0.30725681 0.01143861 0.02895813
 0.33290288 0.32615034 0.30223743 0.01160151 0.017988   0.03114047
 0.33181248 0.32830108 0.31806351 0.29919491 0.00483727 0.01951373
 0.02042663 0.03264404 0.32918776 0.33025171 0.32216323 0.31279396
 0.29698144]"
circle,1515.png,"[1.59256972e-01 1.66204228e-05 7.18932518e-07 8.87765957e-11
 6.26842643e-19 1.67307866e-13 3.31792668e-19]","[0.31830989 0.02842222 0.33474756 0.30990387 0.00374778 0.03679301
 0.33128672 0.32281937 0.30637623 0.02170984 0.00713907 0.04277978
 0.32630125 0.32841043 0.31545114 0.30445285 0.01254184 0.03382362
 0.0065155  0.04801922 0.33180472 0.32258301 0.32499567 0.31007525
 0.30322649]"
circle,1736.png,"[1.59318401e-01 3.67382236e-05 1.11621830e-06 5.61710997e-10
 1.08861601e-17 1.75615679e-12 8.90615457e-18]","[0.31830989 0.02571076 0.33449296 0.31003138 0.0014199  0.03438905
 0.33121492 0.32265582 0.30657672 0.02296498 0.00215357 0.04102395
 0.32500678 0.32919242 0.31501201 0.30476017 0.01847686 0.03594011
 0.0029879  0.0470657  0.33285689 0.3210152  0.32642919 0.30923943
 0.30367684]"
circle,849.png,"[ 1.59847400e-01  2.12931705e-04  3.91527341e-07  9.87750390e-10
  1.75512847e-17  1.29222763e-11 -8.32268626e-18]","[0.31830989 0.02001753 0.33732979 0.30861268 0.01965027 0.02016122
 0.32982589 0.32594307 0.30398255 0.00445569 0.03148331 0.01792121
 0.33041646 0.32597641 0.3192483  0.30103099 0.01995402 0.00316177
 0.03857758 0.01502447 0.3270223  0.32875976 0.32092963 0.31478451
 0.29879533]"
circle,2626.png,"[ 1.59383913e-01  5.76752382e-05  1.35276082e-06  7.17981741e-10
  2.68304339e-19  5.16753858e-14 -2.23742963e-17]","[0.31830989 0.01911938 0.34050553 0.30702494 0.0227189  0.0179371
 0.3322996  0.32693853 0.3017509  0.00735026 0.03572866 0.01441111
 0.33238001 0.3277944  0.31901078 0.2984706  0.026571   0.00514921
 0.04424641 0.01024992 0.33047302 0.32941611 0.32244532 0.31362071
 0.29606573]"
circle,1304.png,"[ 5.58744305e+01  5.82386150e+00  9.54484506e+02  2.19503498e+03
  2.20470304e+06  4.86564239e+03 -2.28778932e+06]","[0.31830989 0.06957216 0.3272197  0.313664   0.02974596 0.08294737
 0.32920192 0.31793608 0.31228291 0.02800049 0.05091138 0.08938512
 0.32660142 0.32258209 0.31396226 0.31156677 0.01178429 0.05221776
 0.05923326 0.09368955 0.32920619 0.32047764 0.31916938 0.31138951
 0.31102907]"
circle,935.png,"[ 1.59384764e-01  5.42042097e-05  1.35465693e-06  1.44906211e-09
  4.14501722e-17  4.79373589e-12 -4.90277020e-17]","[0.31830989 0.02681707 0.33418461 0.31018493 0.00388697 0.03455332
 0.33108109 0.32248742 0.30680893 0.01948508 0.00759312 0.03997586
 0.32666966 0.32768682 0.31548902 0.30494859 0.00972051 0.03013217
 0.00748251 0.04463933 0.3293805  0.32434377 0.3233574  0.31067326
 0.30370566]"
circle,3319.png,"[ 1.59328596e-01  4.21665774e-05  5.63534635e-07  3.54226801e-10
 -2.41644857e-18 -5.66554097e-13  4.38272791e-18]","[0.31830989 0.02420722 0.33620918 0.3091734  0.01032674 0.02886136
 0.33026141 0.32472033 0.30498961 0.01132492 0.01686672 0.03126047
 0.32946743 0.32629011 0.31803837 0.3024076  0.00375804 0.01979317
 0.01914102 0.03297732 0.32771712 0.32747163 0.32139161 0.31357694
 0.30049414]"
circle,2906.png,"[ 1.59276448e-01  2.54494717e-05  4.35389340e-08  1.90894897e-10
 -2.96251526e-19 -7.11659505e-13 -4.63797547e-19]","[0.31830989 0.02842606 0.33467036 0.30994229 0.00165478 0.0379334
 0.33199399 0.32228299 0.30655805 0.0236116  0.00319783 0.04501939
 0.32442405 0.3301844  0.3141917  0.30487436 0.01974535 0.03800653
 0.00282136 0.05139579 0.33232116 0.32160748 0.3268414  0.30823862
 0.30392924]"
circle,3250.png,"[ 1.59617692e-01  1.33273844e-04  3.37366963e-07  4.51201264e-10
 -3.18191127e-18 -3.06459453e-12 -4.56780720e-18]","[0.31830989 0.0313308  0.33576834 0.30939338 0.00751446 0.03933973
 0.33059769 0.32412836 0.30541127 0.01754587 0.01448362 0.04432346
 0.32671992 0.32828878 0.31669368 0.30312126 0.0072694  0.02985397
 0.01609423 0.0483458  0.329131   0.32505763 0.32415988 0.31143599
 0.30156083]"
circle,176.png,"[ 6.91667037e+01  1.16010626e+02  2.46544480e+03  7.47882653e+03
  3.03589753e+07  5.86575919e+04 -1.04717665e+07]","[0.31830989 0.00348373 0.33085746 0.31184568 0.0037526  0.00441256
 0.34479274 0.31057424 0.31185239 0.01713189 0.00606477 0.00675504
 0.34624008 0.31906074 0.30701756 0.31222213 0.01057147 0.01768501
 0.0104469  0.00955938 0.3437909  0.32627128 0.3095382  0.30662247
 0.31236012]"
circle,431.png,"[ 1.59987562e-01  2.50353183e-04  5.04930912e-07  1.54992002e-09
 -2.42774928e-17 -1.44671748e-11  3.59250869e-17]","[0.31830989 0.02275606 0.33717463 0.30869081 0.02308376 0.02267619
 0.32870969 0.32655902 0.30392748 0.00753672 0.0379161  0.01966971
 0.32926208 0.32610364 0.31987192 0.30086512 0.02695606 0.00489121
 0.04751952 0.01578893 0.32692422 0.32775191 0.32183914 0.31518121
 0.29856278]"
circle,845.png,"[1.60794240e-01 5.16448040e-04 5.02935163e-07 2.84822858e-09
 1.03012610e-16 6.13289970e-11 3.17681506e-17]","[0.31830989 0.01674402 0.33909537 0.30772996 0.01273429 0.01809021
 0.3326878  0.32550566 0.30298935 0.00383223 0.01937055 0.01783482
 0.33217894 0.32735021 0.31793261 0.3000926  0.01034802 0.00814626
 0.02281937 0.01712238 0.32807761 0.33078386 0.32082441 0.31319619
 0.29793913]"
circle,3442.png,"[ 7.46413907e+01  6.24466934e+01  9.30959546e+03  1.23074559e+03
 -3.86992688e+06 -8.95872392e+03  1.54243562e+06]","[0.31830989 0.03390933 0.33302235 0.3107662  0.00381241 0.04415367
 0.33049007 0.32191441 0.30767813 0.02441467 0.00853444 0.0513539
 0.32340928 0.32911261 0.31452154 0.30612238 0.01588611 0.03937077
 0.00820099 0.05759776 0.33238777 0.31968977 0.32679592 0.3088427
 0.30525226]"
circle,731.png,"[ 1.62037140e-01  9.15246681e-04  7.28667546e-07  5.77197339e-09
 -1.60180834e-16 -8.63870353e-11  3.38323558e-16]","[0.31830989 0.0183255  0.3396788  0.30743806 0.02153245 0.01726589
 0.33210673 0.32637838 0.30240625 0.00608286 0.03351752 0.01403182
 0.33180343 0.32763249 0.31863188 0.29929626 0.02372649 0.0034575
 0.04109262 0.01022568 0.32903412 0.32984999 0.32189226 0.31351278
 0.29700487]"
circle,633.png,"[1.59435461e-01 7.31593523e-05 1.75894923e-06 1.54862973e-09
 3.82722589e-17 4.60499635e-12 7.11897803e-17]","[0.31830989 0.01906624 0.33944826 0.3075538  0.02017407 0.01871839
 0.33137316 0.32667639 0.30247737 0.00456101 0.03161248 0.01616844
 0.33129179 0.32745627 0.31905676 0.29930999 0.02247036 0.00304504
 0.03887452 0.01299366 0.32842266 0.32967927 0.32197252 0.31396141
 0.29696652]"
circle,1967.png,"[ 1.59202921e-01  4.50119250e-06  3.49659991e-07  3.53226818e-11
 -1.19863519e-19 -7.14430167e-14  3.22938039e-20]","[0.31830989 0.0208925  0.33856234 0.30799671 0.02173927 0.02063755
 0.33084855 0.32628793 0.30312788 0.00639933 0.03503545 0.01779428
 0.33070229 0.32707608 0.31895552 0.30008544 0.02387711 0.00382629
 0.04336928 0.01422611 0.32749134 0.32952532 0.32159881 0.31409829
 0.29782143]"
circle,1501.png,"[ 1.59243444e-01  7.29400240e-06  3.46709682e-07  1.26914773e-10
  2.23014412e-19  2.34598282e-13 -8.11806600e-19]","[0.31830989 0.01825588 0.33651743 0.30901892 0.01014726 0.02098882
 0.33108333 0.32442886 0.30486836 0.00361052 0.01778829 0.02164357
 0.33141692 0.32548679 0.31799847 0.3022711  0.00674619 0.00925851
 0.02158819 0.02166276 0.327532   0.32900375 0.31974905 0.31397478
 0.30028867]"
circle,39.png,"[ 1.59242578e-01  1.08802270e-05  1.31575497e-07  1.23697821e-10
  1.17032788e-19 -1.55045036e-14  4.85117278e-19]","[0.31830989 0.02330808 0.3399373  0.30730894 0.01590256 0.02579695
 0.33208482 0.32660817 0.30218809 0.00392939 0.02600859 0.02575981
 0.3330877  0.32680633 0.31915902 0.29895504 0.01330869 0.00979025
 0.03146935 0.0249466  0.32900921 0.33055185 0.32088265 0.31432017
 0.29652175]"
circle,1854.png,"[ 1.59270884e-01  2.56787487e-05  7.11150613e-07  2.03560530e-10
  1.70490918e-18  6.63371749e-13 -1.75834574e-18]","[0.31830989 0.0225829  0.33728155 0.30863699 0.01089006 0.02650814
 0.33167295 0.32467203 0.30433102 0.00822438 0.01821426 0.02817051
 0.33089947 0.32666281 0.31765033 0.30170376 0.005132   0.01589758
 0.02125806 0.02915006 0.32786441 0.32911156 0.3208042  0.31318728
 0.29975089]"
circle,919.png,"[1.59218018e-01 2.29617951e-06 4.13965994e-07 1.95137543e-10
 1.61463240e-18 2.39324829e-13 6.84812480e-19]","[0.31830989 0.01458532 0.3345278  0.31001352 0.01479524 0.01454876
 0.32984505 0.32359731 0.30631797 0.00441373 0.02405865 0.01270067
 0.32962205 0.32495287 0.31768635 0.30401157 0.01879691 0.0036913
 0.03037665 0.01028878 0.32585491 0.32809044 0.31950119 0.31401961
 0.30223714]"
circle,2.png,"[ 1.59261069e-01  1.87831021e-05  3.03128350e-07  9.62402007e-11
 -4.60217430e-19 -2.18668716e-13 -2.41674613e-19]","[0.31830989 0.03002374 0.33929081 0.3076323  0.01094648 0.03641309
 0.33307645 0.32540954 0.30289149 0.01423712 0.01892876 0.03990174
 0.33035063 0.32906192 0.31711353 0.3001151  0.00374396 0.0252023
 0.02154493 0.0424945  0.33032828 0.32842475 0.32348415 0.31154022
 0.29817124]"
circle,3199.png,"[ 1.59971848e-01  2.49670283e-04  3.67327079e-07  1.00667742e-09
  1.74751273e-17  1.35228464e-11 -8.32794333e-18]","[0.31830989 0.02496883 0.33459798 0.30997908 0.01203396 0.02932157
 0.32865298 0.32445115 0.30606342 0.00753168 0.02099096 0.0310019
 0.32783889 0.325637   0.31829846 0.303616   0.00637936 0.01585207
 0.02502695 0.03185883 0.32452511 0.32785038 0.32061535 0.31430585
 0.30176117]"
circle,2177.png,"[ 1.59442096e-01  7.59635801e-05  4.59018080e-07  6.28307520e-10
  7.46839861e-18  3.29202715e-12 -7.62079846e-18]","[0.31830989 0.02423704 0.34032312 0.30711634 0.00129099 0.03241026
 0.33647177 0.32400581 0.30259854 0.02356744 0.00161435 0.03885132
 0.33059288 0.33145923 0.31450347 0.3002095  0.01656854 0.03489553
 0.00361164 0.04476449 0.33805731 0.32433606 0.32697663 0.30768965
 0.29875948]"
circle,2823.png,"[ 1.59192019e-01  1.22949936e-06  4.99346605e-07  1.22869701e-11
  4.09052668e-21  1.93418469e-15 -3.01585023e-20]","[0.31830989 0.0134053  0.33843094 0.3080625  0.02136983 0.01079136
 0.33097225 0.32609619 0.30325821 0.01056332 0.0331975  0.00644711
 0.33002282 0.32758122 0.31857596 0.30030084 0.02807524 0.01049294
 0.04158277 0.00250949 0.33006482 0.32715742 0.32316124 0.31327451
 0.29816661]"
circle,33.png,"[ 1.59216527e-01  6.28275131e-06  1.90624399e-07  1.08833435e-10
 -2.40261932e-19 -2.07646622e-13  4.33599286e-19]","[0.31830989 0.02780874 0.34023513 0.3071597  0.01966256 0.03054916
 0.33121272 0.32743696 0.30179371 0.00321931 0.03301432 0.0300635
 0.33200494 0.32728283 0.31978424 0.2983901  0.01716517 0.0093968
 0.04042588 0.02858949 0.3277883  0.33078306 0.32154346 0.31471404
 0.29583645]"
circle,766.png,"[ 1.60317968e-01  3.63704549e-04  2.79437798e-07  1.20520254e-09
  1.64450670e-17  1.66499399e-11 -1.47897230e-17]","[0.31830989 0.02067562 0.33891794 0.30781871 0.0037402  0.02636302
 0.33405119 0.32444898 0.30336452 0.01633633 0.00593486 0.03045383
 0.33099297 0.3289302  0.31622407 0.30081467 0.00814308 0.02510852
 0.00511577 0.03407149 0.33183871 0.32777345 0.32328835 0.31074598
 0.29905644]"
circle,2788.png,"[ 1.59395934e-01  6.54360002e-05  2.86385517e-07  1.64448237e-10
 -9.27006403e-19 -1.31107400e-12 -6.43642570e-19]","[0.31830989 0.02543993 0.33615208 0.30920184 0.00414148 0.03261482
 0.33183875 0.32362154 0.30529918 0.01873323 0.00752883 0.03765063
 0.32795688 0.32830952 0.31608819 0.3030921  0.00983053 0.02939373
 0.00710136 0.04202249 0.33085849 0.32496366 0.32397133 0.31081967
 0.30160571]"
circle,1046.png,"[ 1.59385944e-01  6.25793201e-05  4.58352771e-07  2.17121099e-10
  2.14143663e-18  1.68184196e-12 -3.25095053e-19]","[0.31830989 0.02921657 0.33323064 0.31066234 0.00361911 0.03789801
 0.33017541 0.32229776 0.30745353 0.01930358 0.00853347 0.0438108
 0.32629997 0.32688257 0.31578001 0.30565261 0.01222223 0.03184602
 0.00881228 0.04883587 0.33089455 0.32213499 0.32372678 0.31101899
 0.30445499]"
circle,1776.png,"[1.59258763e-01 2.06760119e-05 3.97821963e-07 6.83935610e-11
 3.24900514e-19 2.70565001e-13 1.47350284e-19]","[0.31830989 0.01852293 0.33737306 0.30859112 0.02074183 0.01781812
 0.32965686 0.32609175 0.30391879 0.00635077 0.03285928 0.01486614
 0.33029456 0.32599449 0.31938952 0.30093379 0.02337165 0.00418459
 0.04059172 0.01132524 0.32786129 0.3279771  0.32140092 0.3147874
 0.29868677]"
circle,235.png,"[7.84502622e+01 1.55711452e+01 1.58887971e+04 5.92918658e+03
 3.69387914e+07 1.55481570e+04 4.41295732e+07]","[0.31830989 0.07614378 0.31840705 0.31807118 0.03424833 0.09022709
 0.31800886 0.31806356 0.31775623 0.02792251 0.05886559 0.09654346
 0.31450209 0.32001233 0.3166659  0.3174945  0.01607942 0.05335621
 0.06933308 0.10044188 0.31588566 0.31673686 0.31945278 0.3153722
 0.31718962]"
circle,2241.png,"[1.59945852e-01 2.37755016e-04 7.60520202e-07 2.63036788e-09
 1.16682557e-16 4.01384249e-11 1.50316480e-17]","[0.31830989 0.02427383 0.34110141 0.30672691 0.00698135 0.03006472
 0.33510974 0.32556172 0.30172222 0.0159416  0.01118946 0.03383451
 0.33217573 0.32993194 0.31660887 0.29883594 0.00451914 0.02494508
 0.01168882 0.03697605 0.33247683 0.32925007 0.32378671 0.31066372
 0.29684293]"
circle,3493.png,"[ 1.59306421e-01  2.28284007e-05  1.12442199e-06  4.18310276e-10
  8.72240196e-18  1.45545517e-12 -2.49488685e-18]","[0.31830989 0.0309183  0.33639839 0.30907757 0.01659636 0.0357439
 0.33013072 0.32496261 0.30480657 0.00889579 0.0279505  0.03732606
 0.33024339 0.32573857 0.31847502 0.30211738 0.012613   0.01707437
 0.03381494 0.03784115 0.32688532 0.32850653 0.32046759 0.31426231
 0.30007712]"
circle,1778.png,"[ 1.59303010e-01  3.24275928e-05  2.54167685e-07  3.66277375e-11
  1.11723364e-19  1.94329004e-13 -2.74771396e-21]","[0.31830989 0.02323574 0.3365177  0.30901901 0.00550061 0.02919774
 0.33178317 0.32396284 0.30498556 0.01630352 0.00902876 0.03324421
 0.32873316 0.32790738 0.31654293 0.30265102 0.00736885 0.02607105
 0.00884851 0.03673039 0.32973583 0.32634873 0.32304318 0.31150404
 0.30102503]"
circle,563.png,"[1.59349916e-01 4.68115923e-05 7.31177463e-08 7.47754272e-12
 1.63685256e-21 4.22318770e-14 5.28119305e-21]","[0.31830989 0.02753076 0.33817517 0.30819006 0.0194048  0.03026851
 0.32909789 0.32713241 0.30315757 0.00310238 0.03326732 0.02968197
 0.33125068 0.32541881 0.32057127 0.29984949 0.01737492 0.00819879
 0.04107952 0.02806946 0.32670447 0.32944143 0.32055828 0.31613003
 0.2973005 ]"
circle,1738.png,"[ 1.59326258e-01  3.76629702e-05  1.29659757e-06  4.64057057e-10
  1.10643128e-17  2.76895576e-12 -2.67496253e-18]","[0.31830989 0.02266312 0.33624321 0.30915648 0.01365849 0.0256847
 0.3295122  0.32524879 0.30483623 0.00627064 0.02205159 0.02641356
 0.32940965 0.32591854 0.31873527 0.30211246 0.00870773 0.01333582
 0.0259896  0.0264689  0.32618148 0.32835629 0.32085121 0.3144434
 0.30005405]"
